dep,Num_Acc,an,regionName,grav
13.0,202300006649,2023,Provence-Alpes-Côte d'Azur,2
45.0,202300006657,2023,Centre-Val de Loire,2
89.0,202300006686,2023,Bourgogne-Franche-Comté,2
47.0,202300006698,2023,Nouvelle-Aquitaine,2
31.0,202300006704,2023,Occitanie,2
13.0,202300006706,2023,Provence-Alpes-Côte d'Azur,2
40.0,202300006708,2023,Nouvelle-Aquitaine,2
10.0,202300006723,2023,Grand-Est,2
44.0,202300006725,2023,Pays de la Loire,2
44.0,202300006730,2023,Pays de la Loire,2
93.0,202300006772,2023,Ile-de-France,2
93.0,202300006777,2023,Ile-de-France,2
24.0,202300006778,2023,Nouvelle-Aquitaine,2
6.0,202300006780,2023,Provence-Alpes-Côte d'Azur,2
6.0,202300006780,2023,Provence-Alpes-Côte d'Azur,2
51.0,202300006783,2023,Grand-Est,2
59.0,202300006787,2023,Nord-Pas-de-Calais-Picardie,2
6.0,202300006813,2023,Provence-Alpes-Côte d'Azur,2
11.0,202300006815,2023,Occitanie,2
12.0,202300006822,2023,Occitanie,2
18.0,202300006876,2023,Centre-Val de Loire,2
75.0,202300006896,2023,Ile-de-France,2
27.0,202300006897,2023,Normandie,2
19.0,202300006973,2023,Nouvelle-Aquitaine,2
59.0,202300007008,2023,Nord-Pas-de-Calais-Picardie,2
74.0,202300007051,2023,Auvergne-Rhône-Alpes,2
34.0,202300007119,2023,Occitanie,2
80.0,202300007156,2023,Nord-Pas-de-Calais-Picardie,2
63.0,202300007166,2023,Auvergne-Rhône-Alpes,2
72.0,202300007199,2023,Pays de la Loire,2
44.0,202300007200,2023,Pays de la Loire,2
32.0,202300007215,2023,Occitanie,2
67.0,202300007233,2023,Grand-Est,2
13.0,202300007240,2023,Provence-Alpes-Côte d'Azur,2
69.0,202300007242,2023,Auvergne-Rhône-Alpes,2
68.0,202300007247,2023,Grand-Est,2
57.0,202300007277,2023,Grand-Est,2
78.0,202300007290,2023,Ile-de-France,2
67.0,202300007291,2023,Grand-Est,2
76.0,202300007293,2023,Normandie,2
76.0,202300007294,2023,Normandie,2
59.0,202300007297,2023,Nord-Pas-de-Calais-Picardie,2
80.0,202300007304,2023,Nord-Pas-de-Calais-Picardie,2
80.0,202300007306,2023,Nord-Pas-de-Calais-Picardie,2
82.0,202300007314,2023,Occitanie,2
33.0,202300007325,2023,Nouvelle-Aquitaine,2
56.0,202300007412,2023,Bretagne,2
18.0,202300007430,2023,Centre-Val de Loire,2
30.0,202300007434,2023,Occitanie,2
13.0,202300007442,2023,Provence-Alpes-Côte d'Azur,2
13.0,202300007442,2023,Provence-Alpes-Côte d'Azur,2
59.0,202300007454,2023,Nord-Pas-de-Calais-Picardie,2
69.0,202300007483,2023,Auvergne-Rhône-Alpes,2
63.0,202300007509,2023,Auvergne-Rhône-Alpes,2
75.0,202300007524,2023,Ile-de-France,2
83.0,202300007550,2023,Provence-Alpes-Côte d'Azur,2
68.0,202300007562,2023,Grand-Est,2
3.0,202300007568,2023,Auvergne-Rhône-Alpes,2
58.0,202300007571,2023,Bourgogne-Franche-Comté,2
72.0,202300007573,2023,Pays de la Loire,2
91.0,202300007601,2023,Ile-de-France,2
6.0,202300007669,2023,Provence-Alpes-Côte d'Azur,2
59.0,202300007705,2023,Nord-Pas-de-Calais-Picardie,2
49.0,202300007709,2023,Pays de la Loire,2
66.0,202300007716,2023,Occitanie,2
50.0,202300007720,2023,Normandie,2
7.0,202300007723,2023,Auvergne-Rhône-Alpes,2
59.0,202300007728,2023,Nord-Pas-de-Calais-Picardie,2
81.0,202300007735,2023,Occitanie,2
17.0,202300007736,2023,Nouvelle-Aquitaine,2
13.0,202300007739,2023,Provence-Alpes-Côte d'Azur,2
57.0,202300007848,2023,Grand-Est,2
10.0,202300007850,2023,Grand-Est,2
38.0,202300007851,2023,Auvergne-Rhône-Alpes,2
54.0,202300007863,2023,Grand-Est,2
52.0,202300007869,2023,Grand-Est,2
85.0,202300007899,2023,Pays de la Loire,2
82.0,202300007974,2023,Occitanie,2
58.0,202300007990,2023,Bourgogne-Franche-Comté,2
88.0,202300007995,2023,Grand-Est,2
81.0,202300008001,2023,Occitanie,2
16.0,202300008003,2023,Nouvelle-Aquitaine,2
34.0,202300008022,2023,Occitanie,2
14.0,202300008036,2023,Normandie,2
45.0,202300008042,2023,Centre-Val de Loire,2
17.0,202300008055,2023,Nouvelle-Aquitaine,2
62.0,202300008070,2023,Nord-Pas-de-Calais-Picardie,2
62.0,202300008070,2023,Nord-Pas-de-Calais-Picardie,2
17.0,202300008083,2023,Nouvelle-Aquitaine,2
91.0,202300008092,2023,Ile-de-France,2
5.0,202300008095,2023,Provence-Alpes-Côte d'Azur,2
69.0,202300008113,2023,Auvergne-Rhône-Alpes,2
49.0,202300008130,2023,Pays de la Loire,2
27.0,202300008139,2023,Normandie,2
72.0,202300008289,2023,Pays de la Loire,2
17.0,202300008304,2023,Nouvelle-Aquitaine,2
6.0,202300008346,2023,Provence-Alpes-Côte d'Azur,2
35.0,202300008355,2023,Bretagne,2
89.0,202300008375,2023,Bourgogne-Franche-Comté,2
89.0,202300008375,2023,Bourgogne-Franche-Comté,2
89.0,202300008375,2023,Bourgogne-Franche-Comté,2
1.0,202300008377,2023,Auvergne-Rhône-Alpes,2
25.0,202300008388,2023,Bourgogne-Franche-Comté,2
13.0,202300008417,2023,Provence-Alpes-Côte d'Azur,2
27.0,202300008419,2023,Normandie,2
10.0,202300008432,2023,Grand-Est,2
55.0,202300008434,2023,Grand-Est,2
71.0,202300008448,2023,Bourgogne-Franche-Comté,2
49.0,202300008454,2023,Pays de la Loire,2
86.0,202300008493,2023,Nouvelle-Aquitaine,2
22.0,202300008511,2023,Bretagne,2
29.0,202300008545,2023,Bretagne,2
18.0,202300008572,2023,Centre-Val de Loire,2
68.0,202300008583,2023,Grand-Est,2
38.0,202300008585,2023,Auvergne-Rhône-Alpes,2
85.0,202300008590,2023,Pays de la Loire,2
38.0,202300008595,2023,Auvergne-Rhône-Alpes,2
10.0,202300008606,2023,Grand-Est,2
70.0,202300008616,2023,Bourgogne-Franche-Comté,2
85.0,202300008631,2023,Pays de la Loire,2
54.0,202300008678,2023,Grand-Est,2
72.0,202300008680,2023,Pays de la Loire,2
14.0,202300008701,2023,Normandie,2
70.0,202300008706,2023,Bourgogne-Franche-Comté,2
77.0,202300008727,2023,Ile-de-France,2
14.0,202300008739,2023,Normandie,2
24.0,202300008745,2023,Nouvelle-Aquitaine,2
50.0,202300008749,2023,Normandie,2
80.0,202300008750,2023,Nord-Pas-de-Calais-Picardie,2
80.0,202300008757,2023,Nord-Pas-de-Calais-Picardie,2
37.0,202300008763,2023,Centre-Val de Loire,2
57.0,202300008765,2023,Grand-Est,2
95.0,202300008807,2023,Ile-de-France,2
64.0,202300008810,2023,Nouvelle-Aquitaine,2
73.0,202300008813,2023,Auvergne-Rhône-Alpes,2
3.0,202300008820,2023,Auvergne-Rhône-Alpes,2
18.0,202300008824,2023,Centre-Val de Loire,2
43.0,202300008830,2023,Auvergne-Rhône-Alpes,2
84.0,202300008866,2023,Provence-Alpes-Côte d'Azur,2
53.0,202300008873,2023,Pays de la Loire,2
21.0,202300008881,2023,Bourgogne-Franche-Comté,2
4.0,202300008884,2023,Provence-Alpes-Côte d'Azur,2
54.0,202300008894,2023,Grand-Est,2
40.0,202300008897,2023,Nouvelle-Aquitaine,2
4.0,202300008908,2023,Provence-Alpes-Côte d'Azur,2
17.0,202300008935,2023,Nouvelle-Aquitaine,2
22.0,202300008951,2023,Bretagne,2
22.0,202300008957,2023,Bretagne,2
28.0,202300009033,2023,Centre-Val de Loire,2
34.0,202300009034,2023,Occitanie,2
62.0,202300009044,2023,Nord-Pas-de-Calais-Picardie,2
6.0,202300009049,2023,Provence-Alpes-Côte d'Azur,2
6.0,202300009049,2023,Provence-Alpes-Côte d'Azur,2
78.0,202300009081,2023,Ile-de-France,2
13.0,202300009114,2023,Provence-Alpes-Côte d'Azur,2
67.0,202300009117,2023,Grand-Est,2
20.0,202300009126,2023,Corse,2
20.0,202300009126,2023,Corse,2
66.0,202300009135,2023,Occitanie,2
34.0,202300009140,2023,Occitanie,2
69.0,202300009149,2023,Auvergne-Rhône-Alpes,2
6.0,202300009154,2023,Provence-Alpes-Côte d'Azur,2
38.0,202300009175,2023,Auvergne-Rhône-Alpes,2
88.0,202300009190,2023,Grand-Est,2
59.0,202300009212,2023,Nord-Pas-de-Calais-Picardie,2
7.0,202300009221,2023,Auvergne-Rhône-Alpes,2
52.0,202300009222,2023,Grand-Est,2
35.0,202300009230,2023,Bretagne,2
17.0,202300009250,2023,Nouvelle-Aquitaine,2
